,CarPrice,CarMileage,VIN,TimeStamp,Source,Make,Model,Year,Trim,ExteriorColorGeneral,InteriorColorGeneral,DrivetrainGeneral,FuelTypeGeneral,TransmissionGeneral,EngineSize,EngineConfiguration,Fuel System,Turbocharged,Hybrid,ZipLocation
390,12107.0,116507,2C4RC1CG6FR699291,2023-11-12 20:19:29.840073+00:00,Cars.com,CHRYSLER,Town and Country,2015,Touring-L,Gray,Black,FWD,Gasoline,Automatic,3.6L,V6,MPFI,0,0,
391,24855.0,28046,KMHGN4JE4JU243978,2023-11-12 20:13:44.150750+00:00,Cars.com,GENESIS,G80,2018,,White,Black,RWD,Gasoline,Automatic,3.8L,,,0,0,
392,21543.0,41377,2G1FF3D35F9241171,2023-11-12 20:16:22.750201+00:00,Cars.com,CHEVROLET,Camaro,2015,,White,Red,RWD,Flex Fuel,Automatic,3.6L,V6,GDI,0,0,
393,12971.0,103980,JN8CS1MW7GM752961,2023-11-24 22:30:07.224199+00:00,Cars.com,INFINITI,QX70,2016,,Black,Black,AWD,Gasoline,Automatic,3.7L,,,0,0,01237
394,56500.0,26970,1GNSKNKDXMR477706,2023-11-12 21:44:45.294673+00:00,Cars.com,CHEVROLET,Tahoe,2021,,Black,Black,4WD,Gasoline,Automatic,5.3L,,,0,0,02191
395,17918.0,85562,JTHBW1GGXD2019311,2023-11-12 17:40:12.527944+00:00,Cars.com,LEXUS,ES,2013,300h,Black,Other,FWD,Hybrid,Automatic,2.5L,I4,MPFI,0,1,
396,24761.0,35283,1HGCV1F35LA060670,2023-11-24 21:37:15.559018+00:00,Cars.com,HONDA,Accord,2020,,Gray,Black,FWD,Gasoline,Automatic,1.5L,I4,GDI,1,0,02045
397,27469.0,34645,2HKRW2H56LH696405,2023-11-12 21:45:41.933325+00:00,Cars.com,HONDA,CR-V,2020,EX,Gray,Gray,AWD,Gasoline,Automatic,1.5L,I4,GDI,1,0,02191
398,22995.0,68630,JN8CS1MW8GM750507,2023-11-24 22:35:25.133646+00:00,Cars.com,INFINITI,QX70,2016,,White,Gray,AWD,Gasoline,Automatic,3.7L,V6,MPFI,0,0,01237
399,15488.0,116494,JM3KE2DY0F0544004,2023-11-12 17:40:45.578515+00:00,Cars.com,MAZDA,CX-5,2015,Grand Touring/GT,Blue,Black,FWD,Gasoline,Automatic,2.5L,I4,GDI,0,0,
400,53982.0,41609,1FMJK2ATXLEA60647,2023-11-12 20:19:46.541956+00:00,Cars.com,FORD,Expedition MAX,2020,,Gray,Black,4WD,Gasoline,Automatic,3.5L,V6,GDI,1,0,
401,14495.0,121599,JN8CS1MU3FM381410,2023-11-24 22:30:32.110247+00:00,Cars.com,INFINITI,QX70,2015,,White,Black,RWD,Gasoline,Automatic,3.7L,,,0,0,01237
